customer_id,customer_type,first_name,last_name,email,postcode_area,city,region,signup_date
CUST00001,B2C,Emma,Barlow,rita27@example.net,EN4B,Hull,Yorkshire & Humber,2025-08-20
CUST00002,B2C,Albert,Morris,joanne40@example.com,M30,London,London,2026-06-10
CUST00003,B2C,Josh,Jackson,clarkeannette@example.com,L79,Blackpool,North West,2025-08-23
CUST00004,B2C,Lisa,Wheeler,hbaker@example.org,G18,Bournemouth,South West,2026-03-06
CUST00005,B2C,Allan,Gray,traceyward@example.org,NG6,Sheffield,Yorkshire & Humber,2026-08-08
CUST00006,B2C,Frank,Cole,powellann@example.net,PA47,Belfast,Northern Ireland,2024-10-07
CUST00007,B2C,Julie,Thomas,gibsoncameron@example.com,G4,Cambridge,East of England,2025-05-31
CUST00008,B2B,Mohammed,Richardson,wilsondamien@example.net,CB1,Southampton,South East,2026-03-18
CUST00009,B2C,Ashleigh,O'Connor,gemmasimmons@example.net,W9,Sunderland,North East,2025-10-02
CUST00010,B2C,Henry,Manning,ntaylor@example.org,E4A,Bristol,South West,2026-04-17
CUST00011,B2C,Annette,Wood,peter27@example.org,UB2,Southampton,South East,2025-04-02
CUST00012,B2C,Ian,Clarke,garygriffiths@example.net,DD4,Manchester,North West,2025-07-13
CUST00013,B2C,Marian,Evans,brandonbarlow@example.com,S81,Brighton,South East,2026-06-10
CUST00014,B2C,Aimee,Richards,helenjones@example.net,RM2,Dundee,Scotland,2025-04-24
CUST00015,B2C,Sheila,Harrison,johndavis@example.net,ZE2E,Middlesbrough,North East,2025-11-21
CUST00016,B2C,Eleanor,Richards,gouldgail@example.org,AL8B,London,London,2026-07-22
CUST00017,B2C,Duncan,Pearson,jane53@example.net,B8,Lincoln,East Midlands,2026-03-19
CUST00018,B2C,Kerry,Watson,pharris@example.net,NW7Y,Ipswich,East of England,2025-05-10
CUST00019,B2C,Kevin,Murphy,dyates@example.net,M58,York,Yorkshire & Humber,2025-12-22
CUST00020,B2C,Aimee,Smith,nicholsongillian@example.com,CB04,Oxford,South East,2025-10-12
CUST00021,B2C,Rachael,Allen,lindseythomas@example.net,HS0A,Brighton,South East,2025-01-02
CUST00022,B2C,Sylvia,Thornton,wilsonclaire@example.com,S1,Sheffield,Yorkshire & Humber,2026-07-07
CUST00023,B2C,Terry,Mills,qclarke@example.net,L4,London,London,2025-08-28
CUST00024,B2C,Bradley,Lewis,june69@example.com,W61,Nottingham,East Midlands,2026-03-16
CUST00025,B2B,Mitchell,Chambers,eking@example.org,CF1W,Newport,Wales,2024-10-07
CUST00026,B2B,Sally,Smith,goddardconor@example.org,B19,Leicester,East Midlands,2025-12-01
CUST00027,B2B,Alex,Swift,rrussell@example.com,N91,Belfast,Northern Ireland,2025-02-18
CUST00028,B2C,Irene,Gill,ritawalton@example.org,BS61,Lincoln,East Midlands,2026-08-08
CUST00029,B2C,Edward,White,parsonsgail@example.net,DL0,Nottingham,East Midlands,2024-09-28
CUST00030,B2C,Lindsey,Brown,fitzgeraldjoanne@example.com,DH74,Middlesbrough,North East,2024-11-10
CUST00031,B2C,Vanessa,Walsh,dtaylor@example.org,E91,Sheffield,Yorkshire & Humber,2024-11-20
CUST00032,B2C,Damien,Mitchell,holtgeraldine@example.com,YO6,Sheffield,Yorkshire & Humber,2025-10-30
CUST00033,B2C,Damien,Curtis,brandon60@example.net,NW0,Swansea,Wales,2026-01-29
CUST00034,B2C,David,Wilson,ybell@example.net,W5,London,London,2026-01-20
CUST00035,B2B,Lee,Boyle,greengarry@example.net,PH67,Oxford,South East,2025-11-14
CUST00036,B2C,Leanne,Taylor,vsutton@example.net,B3,Belfast,Northern Ireland,2024-09-06
CUST00037,B2B,Jade,Hall,jberry@example.org,L7,Cambridge,East of England,2024-12-08
CUST00038,B2C,Mark,Cooke,adam70@example.com,SA8,Sheffield,Yorkshire & Humber,2026-06-12
CUST00039,B2C,James,Warren,jonesalexander@example.com,W3,Cambridge,East of England,2026-05-11
CUST00040,B2C,Leah,Williams,katherine51@example.net,DY9,London,London,2026-04-19
CUST00041,B2C,Lindsey,Sullivan,alexandra16@example.org,EX5M,Derry,Northern Ireland,2025-09-02
CUST00042,B2C,Lynne,Palmer,yvonne60@example.org,FK5,Newport,Wales,2025-12-22
CUST00043,B2C,Jodie,Pratt,pauline00@example.net,B6S,Belfast,Northern Ireland,2026-06-24
CUST00044,B2C,Hilary,Pearce,qking@example.org,PA9P,Oxford,South East,2026-01-11
CUST00045,B2C,Ashley,Morgan,youngmark@example.org,L7J,Blackpool,North West,2025-10-14
CUST00046,B2C,Lesley,Hodgson,burgesswendy@example.com,SM7M,Edinburgh,Scotland,2026-05-18
CUST00047,B2C,Katy,Barrett,rossjohn@example.com,CO8,Aberdeen,Scotland,2024-08-12
CUST00048,B2C,Scott,Turner,caroline72@example.org,SK40,London,London,2025-01-09
CUST00049,B2B,Kim,Clarke,fosterjayne@example.com,M5S,Blackpool,North West,2025-08-11
CUST00050,B2B,Glenn,Pearce,bethany03@example.net,BL2N,Dundee,Scotland,2024-08-20
CUST00051,B2C,Stephanie,Watts,hlewis@example.com,NW63,York,Yorkshire & Humber,2024-09-20
CUST00052,B2C,Maurice,Patel,dixondylan@example.org,TR3N,Coventry,West Midlands,2025-10-27
CUST00053,B2C,Eric,Ellis,aimee39@example.com,S34,Wolverhampton,West Midlands,2025-02-24
CUST00054,B2C,Gerard,Hancock,jonesshirley@example.com,L0,Ipswich,East of England,2024-12-01
CUST00055,B2C,Oliver,Henderson,charles68@example.org,S7U,Derry,Northern Ireland,2026-08-08
CUST00056,B2C,Stacey,Harrison,jayne38@example.com,E1D,Cambridge,East of England,2026-01-08
CUST00057,B2B,Dawn,Watts,dhill@example.com,B0D,Oxford,South East,2024-11-04
CUST00058,B2C,Harriet,Vincent,gstephenson@example.net,W9G,Nottingham,East Midlands,2024-10-14
CUST00059,B2C,Scott,Kelly,lydiawalker@example.org,CR86,Ipswich,East of England,2025-01-17
CUST00060,B2C,Amelia,Patel,rbriggs@example.com,E7,Belfast,Northern Ireland,2025-06-21
CUST00061,B2C,Amelia,Graham,ystanley@example.com,E2U,Derry,Northern Ireland,2025-06-02
CUST00062,B2C,Max,Walters,christian59@example.org,N16,Manchester,North West,2025-09-06
CUST00063,B2C,Josephine,Norris,angelaahmed@example.org,W08,Derry,Northern Ireland,2026-04-10
CUST00064,B2B,Andrew,Dawson,kathleen76@example.net,CH0,Swansea,Wales,2024-12-24
CUST00065,B2B,Sara,Robinson,tayloralan@example.org,W67,Derry,Northern Ireland,2025-08-27
CUST00066,B2C,Debra,Cook,qwood@example.net,CW3,Southampton,South East,2024-12-28
CUST00067,B2C,Nicola,Watson,josephlane@example.com,AL2,Southampton,South East,2025-08-23
CUST00068,B2B,Harry,Brown,maria93@example.net,SP9,Sheffield,Yorkshire & Humber,2024-11-23
CUST00069,B2B,Martin,Baker,frederickbennett@example.net,W7,Oxford,South East,2026-03-06
CUST00070,B2C,Kathleen,Lewis,bondfrancis@example.com,GY3V,Derry,Northern Ireland,2025-11-03
CUST00071,B2B,Lewis,Brown,leerobin@example.net,SS8,Derby,East Midlands,2025-09-03
CUST00072,B2B,Carol,Hodgson,nferguson@example.org,M5,Leeds,Yorkshire & Humber,2025-05-11
CUST00073,B2C,Glen,Williams,huntlucy@example.net,S97,Middlesbrough,North East,2025-01-23
CUST00074,B2B,Lynn,Lewis,ldavis@example.org,G3H,Sunderland,North East,2026-02-14
CUST00075,B2C,Brandon,Smith,conor05@example.org,N6,Liverpool,North West,2026-03-29
CUST00076,B2C,Andrea,Shah,frichardson@example.org,NW1M,Newcastle,North East,2026-02-08
CUST00077,B2C,Angela,James,phillip01@example.com,DY2W,Leeds,Yorkshire & Humber,2026-08-03
CUST00078,B2C,Judith,Turner,pearsonallan@example.com,WV5,Wrexham,Wales,2025-11-10
CUST00079,B2C,Jasmine,Miles,lsmith@example.org,LD4,Norwich,East of England,2024-11-21
CUST00080,B2C,Elizabeth,Green,tturnbull@example.net,YO88,Brighton,South East,2024-10-22
CUST00081,B2C,Craig,Richardson,joshmarshall@example.com,E8,Coventry,West Midlands,2025-03-05
CUST00082,B2C,Cheryl,Berry,flemingmax@example.com,LS57,London,London,2025-07-27
CUST00083,B2C,Nicholas,Moore,murrayjacqueline@example.org,WR77,Swansea,Wales,2026-01-07
CUST00084,B2C,Stephen,Bull,dylan03@example.net,L9,Wolverhampton,West Midlands,2025-04-30
CUST00085,B2B,Toby,Moss,xhancock@example.net,W6K,Lincoln,East Midlands,2026-01-17
CUST00086,B2B,Stacey,Francis,pstone@example.net,B52,Sheffield,Yorkshire & Humber,2024-08-12
CUST00087,B2C,Pamela,Richardson,mlee@example.com,IP76,Sunderland,North East,2025-06-18
CUST00088,B2C,Arthur,Powell,gillian48@example.net,S77,Newcastle,North East,2026-05-08
CUST00089,B2C,Iain,Simpson,kglover@example.com,G6,Reading,South East,2024-09-16
CUST00090,B2B,Caroline,Payne,kayluke@example.net,SL9E,Sheffield,Yorkshire & Humber,2025-04-22
CUST00091,B2C,Mitchell,Carr,winterconnor@example.net,SS3,Dundee,Scotland,2026-05-25
CUST00092,B2C,Dylan,O'Connor,lewismohammad@example.org,BS8,Coventry,West Midlands,2025-07-09
CUST00093,B2C,Adam,Chapman,xcollins@example.com,L9,Wrexham,Wales,2026-06-01
CUST00094,B2C,Gerald,Wilkinson,jacksonann@example.net,EX2,London,London,2026-05-14
CUST00095,B2C,Allan,Hall,ronaldslater@example.net,G3A,Belfast,Northern Ireland,2026-07-01
CUST00096,B2C,Alison,Pollard,callum88@example.org,G14,Sunderland,North East,2025-11-16
CUST00097,B2C,Robin,Campbell,abigail43@example.org,L4T,Derry,Northern Ireland,2026-08-07
CUST00098,B2C,Irene,Anderson,joshslater@example.com,HA8,Nottingham,East Midlands,2026-02-20
CUST00099,B2C,Hazel,Perkins,linda79@example.net,TA98,Ipswich,East of England,2025-09-20
CUST00100,B2C,Tina,Miller,benjaminparkes@example.org,WD9P,Plymouth,South West,2025-01-22
CUST00101,B2C,Roger,Bryan,laurendavies@example.net,L40,Leeds,Yorkshire & Humber,2025-09-28
CUST00102,B2C,Samantha,Thompson,stephaniefitzgerald@example.org,CM87,Derry,Northern Ireland,2024-11-06
CUST00103,B2B,Reece,Pratt,shaunbailey@example.org,S2,Sheffield,Yorkshire & Humber,2026-03-21
CUST00104,B2C,Matthew,Baxter,rachelmoran@example.org,M8F,Exeter,South West,2025-05-18
CUST00105,B2C,Owen,Turner,chapmanjake@example.org,GU7R,Edinburgh,Scotland,2024-11-17
CUST00106,B2C,Clifford,Marsden,russellfuller@example.net,N60,Coventry,West Midlands,2026-04-29
CUST00107,B2C,Patricia,Parsons,tomlinsonclare@example.net,G0H,Exeter,South West,2025-12-28
CUST00108,B2C,Bruce,Watson,cameron34@example.com,G0S,Wolverhampton,West Midlands,2025-11-11
CUST00109,B2C,Bryan,Wilkinson,glennorton@example.org,NP9,London,London,2024-08-26
CUST00110,B2C,Bryan,Pearson,glawrence@example.net,PO0,London,London,2024-10-04
CUST00111,B2C,Neil,Cross,hazellewis@example.com,NG71,Wrexham,Wales,2025-04-12
CUST00112,B2C,Gary,Kelly,kenneth76@example.org,E2K,York,Yorkshire & Humber,2025-02-17
CUST00113,B2C,Leonard,Hunt,cmorris@example.org,CO9V,London,London,2026-01-17
CUST00114,B2C,Rita,Gibbs,christopherwest@example.com,B0J,Bristol,South West,2024-10-12
CUST00115,B2C,Colin,Perry,danny39@example.org,SA5H,Preston,North West,2025-10-02
CUST00116,B2C,Hayley,Todd,brownhannah@example.com,G89,Birmingham,West Midlands,2024-08-18
CUST00117,B2C,Holly,Wood,simon63@example.org,NE1Y,Middlesbrough,North East,2025-04-16
CUST00118,B2C,Bethany,Taylor,pritchardsian@example.org,G9,London,London,2025-10-02
CUST00119,B2C,Wendy,Hutchinson,zdixon@example.org,HD0,Oxford,South East,2025-05-10
CUST00120,B2C,Dale,Martin,iainreeves@example.com,M7,Lincoln,East Midlands,2026-07-11
CUST00121,B2C,Mitchell,Kaur,vanessayoung@example.com,W07,Cardiff,Wales,2025-10-02
CUST00122,B2C,Lucy,Moore,hdavison@example.net,M4,Wolverhampton,West Midlands,2025-03-27
CUST00123,B2C,Francis,Finch,kwilliams@example.com,S49,Middlesbrough,North East,2026-05-31
CUST00124,B2C,Megan,Reynolds,harveymark@example.org,G0A,Plymouth,South West,2025-07-05
CUST00125,B2C,Karl,Godfrey,ericgallagher@example.org,E7,Sheffield,Yorkshire & Humber,2024-10-08
CUST00126,B2C,Donald,Hunt,craigbrooks@example.net,M29,Nottingham,East Midlands,2026-08-02
CUST00127,B2C,Marie,Smith,xgeorge@example.net,CO6,Derry,Northern Ireland,2026-07-25
CUST00128,B2C,Mohammed,Bruce,lorrainecarter@example.com,CO4,Derby,East Midlands,2024-10-22
CUST00129,B2C,Rosie,Harris,jeffreywilkins@example.org,M7B,Middlesbrough,North East,2025-04-06
CUST00130,B2B,Gail,Davies,smithlouis@example.net,S71,Hull,Yorkshire & Humber,2025-08-18
CUST00131,B2C,Clive,White,brownstacey@example.com,B4T,Swansea,Wales,2024-08-14
CUST00132,B2B,Frank,Evans,bclarke@example.com,LL1,Reading,South East,2026-03-24
CUST00133,B2B,Gillian,Smith,kieran14@example.com,EN0X,Sheffield,Yorkshire & Humber,2025-07-27
CUST00134,B2C,Alison,Smith,elizabethrichardson@example.com,GY2,London,London,2025-11-21
CUST00135,B2B,Patrick,McLean,sam20@example.com,RH0Y,York,Yorkshire & Humber,2025-11-25
CUST00136,B2C,Keith,Williams,dsmith@example.com,E4W,Preston,North West,2024-12-21
CUST00137,B2C,Hugh,Gordon,dale20@example.net,DD7,Swansea,Wales,2025-11-14
CUST00138,B2C,Paula,Reid,molly51@example.org,FK2,Reading,South East,2025-05-31
CUST00139,B2B,Fiona,Smith,eleanorreid@example.com,BH1W,Peterborough,East of England,2026-04-03
CUST00140,B2C,Julian,Henderson,natalie33@example.org,AB91,Ipswich,East of England,2025-05-03
CUST00141,B2C,Susan,Cooper,gdoyle@example.net,TR9,Leeds,Yorkshire & Humber,2025-10-19
CUST00142,B2C,Sarah,Russell,bethelliott@example.org,G17,London,London,2025-06-29
CUST00143,B2B,Claire,Holmes,hcarter@example.net,LE6,Leicester,East Midlands,2026-07-22
CUST00144,B2B,Jasmine,Hall,damianmorgan@example.net,SW2V,Bournemouth,South West,2025-01-16
CUST00145,B2C,Patrick,Ellis,bradley64@example.com,DA5N,London,London,2025-12-10
CUST00146,B2C,Timothy,McKenzie,hbarrett@example.com,KW95,Nottingham,East Midlands,2025-08-02
CUST00147,B2C,Dean,Thomas,roywright@example.org,GU85,Derry,Northern Ireland,2026-07-20
CUST00148,B2C,Marion,Conway,owen51@example.com,LU2W,Brighton,South East,2024-08-08
CUST00149,B2B,Michael,Watson,glen17@example.org,ST3V,Belfast,Northern Ireland,2025-04-12
